FA,Link,C,DB,elem,mass,[M-H]-,[M-W-H]-,NL-H2O,[M+H]+,NL+Na
14:00,A,14,0,C14H28O2,228.20893,227.2011,209.190535,210.19836,211.1984,250.19087
16:00,A,16,0,C16H32O2,256.24023,255.2324,237.221835,238.22966,239.2297,278.22217
16:01,A,16,1,C16H30O2,254.22458,253.21675,235.206185,236.21401,237.214,276.20652
18:00,A,18,0,C18H36O2,284.27153,283.2637,265.253135,266.26096,267.261,306.25347
18:01,A,18,1,C18H34O2,282.25588,281.24805,263.237485,264.24531,265.2453,304.23782
18:02,A,18,2,C18H32O2,280.24023,279.2324,261.221835,262.22966,263.2297,302.22217
18:03,A,18,3,C18H30O2,278.22458,277.21675,259.206185,260.21401,261.214,300.20652
20:03,A,20,3,C20H34O2,306.25588,305.24805,287.237485,288.24531,289.2453,328.23782
20:04,A,20,4,C20H32O2,304.24023,303.2324,285.221835,286.22966,287.2297,326.22217
20:05,A,20,5,C20H30O2,302.22458,301.21675,283.206185,284.21401,285.214,324.20652
22:04,A,22,4,C22H36O2,332.27153,331.2637,313.253135,314.26096,315.261,354.25347
22:05,A,22,5,C22H34O2,330.25588,329.24805,311.237485,312.24531,313.2453,352.23782
22:06,A,22,6,C22H32O2,328.24023,327.2324,309.221835,310.22966,311.2297,350.22217
O-16:0,O,16,0,C16H34O,242.26097,241.25314,223.242575,224.2504,225.2504,264.24291
O-18:0,O,18,0,C18H38O,270.29227,269.28444,251.273875,252.2817,253.2817,292.27421
O-20:0,O,20,0,C20H42O,298.32357,297.31574,279.305175,280.313,281.313,320.30551
P-16:0,P,16,0,C16H32O,240.24532,239.23749,221.226925,222.23475,223.2348,262.22726
P-18:0,P,18,0,C18H36O,268.27662,267.26879,249.258225,250.26605,251.2661,290.25856
P-20:0,P,20,0,C20H40O,296.30792,295.30009,277.289525,278.29735,279.2974,318.28986
