FA,Link,C,DB
8:00,A,8,0
9:00,A,9,0
10:00,A,10,0
11:00,A,11,0
12:00,A,12,0
12:01,A,12,1
13:00,A,13,0
14:00,A,14,0
14:01,A,14,1
14:02,A,14,2
15:00,A,15,0
15:01,A,15,1
16:00,A,16,0
16:01,A,16,1
16:02,A,16,2
17:00,A,17,0
17:01,A,17,1
17:02,A,17,2
18:00,A,18,0
18:01,A,18,1
18:02,A,18,2
18:03,A,18,3
18:04,A,18,4
19:00,A,19,0
19:01,A,19,1
20:00,A,20,0
20:01,A,20,1
20:02,A,20,2
20:03,A,20,3
20:04,A,20,4
20:05,A,20,5
21:00,A,21,0
22:00,A,22,0
22:01,A,22,1
22:02,A,22,2
22:03,A,22,3
22:04,A,22,4
22:05,A,22,5
22:06,A,22,6
23:00,A,23,0
24:00:00,A,24,0
24:01:00,A,24,1
24:02:00,A,24,2
26:00:00,A,26,0
26:01:00,A,26,1
26:02:00,A,26,2
28:00:00,A,28,0
O-16:0,O,16,0
O-18:0,O,18,0
O-20:0,O,20,0
P-16:0,P,16,0
P-18:0,P,18,0
P-20:0,P,20,0
